mutantIndex;mutantType;mutationTime;buildingTime
1;5;5999;24717
2;1;7427;24549
3;2;6610;23726
4;3;7083;24285
5;4;7393;25440
6;5;512249;22471
7;5;6910;24057
8;5;6940;23337
9;5;7015;24031
10;5;6978;24552
11;5;7403;26277
12;5;6990;26345
13;5;7033;27385
14;5;6911;26335
15;5;6935;25870
16;5;7038;26406
17;5;7093;26133
18;5;6759;26607
19;5;7012;27536
20;5;7199;26403
21;5;7081;26044
22;5;7663;26182
23;1;7202;23947
24;1;7596;23834
25;1;7384;23611
26;1;7274;26068
27;1;6905;26590
28;1;7353;25840
29;1;7556;26381
30;1;7402;26248
31;1;6727;27107
32;1;7427;26065
33;1;8037;30417
34;1;7472;30870
35;1;7953;30024
36;1;8371;30434
37;1;7339;27127
38;1;7189;26041
39;1;7280;27477
40;1;7110;26318
41;1;7853;26663
42;1;7088;27700
43;1;7810;25879
44;1;7547;26338
45;1;7277;25809
46;1;7548;27581
47;1;6988;26790
48;2;7777;26295
49;2;7367;26441
50;2;7000;26524
